Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_Healthcare_Services_Make_Appointment_002_TestSuite,Chrome 122.0.0.0,,,04-03-2024 12:22:41,04-03-2024 12:23:32,51.250s,PASSED
,,,,,,,
Test Cases/CURA_Healthcare_Services/TC_CHS_Make_Appointment_002,Chrome 122.0.0.0,,,04-03-2024 12:22:42,04-03-2024 12:23:32,50.094s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 122.0.0.0,,,04-03-2024 12:22:43,04-03-2024 12:22:43,0.001s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,04-03-2024 12:22:43,04-03-2024 12:22:50,6.935s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 122.0.0.0,,,04-03-2024 12:22:50,04-03-2024 12:23:04,13.878s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_Make_Appointment_002_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 122.0.0.0,,,04-03-2024 12:23:04,04-03-2024 12:23:11,7.004s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Services_Make_Appointment_002_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 122.0.0.0,,,04-03-2024 12:23:11,04-03-2024 12:23:18,6.776s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Healthcare Services_Make_Appointment_002_OR/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 122.0.0.0,,,04-03-2024 12:23:18,04-03-2024 12:23:19,1.492s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_Make_Appointment_002_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 122.0.0.0,,,04-03-2024 12:23:19,04-03-2024 12:23:24,4.599s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CURA Healthcare Services_Make_Appointment_002_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 122.0.0.0,,,04-03-2024 12:23:24,04-03-2024 12:23:25,1.510s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_Make_Appointment_002_OR/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 122.0.0.0,,,04-03-2024 12:23:25,04-03-2024 12:23:26,0.633s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_Make_Appointment_002_OR/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 122.0.0.0,,,04-03-2024 12:23:26,04-03-2024 12:23:27,1.628s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_Make_Appointment_002_OR/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 122.0.0.0,,,04-03-2024 12:23:27,04-03-2024 12:23:28,0.986s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_Make_Appointment_002_OR/Page_CURA Healthcare Service/td_27""))",Chrome 122.0.0.0,,,04-03-2024 12:23:28,04-03-2024 12:23:29,0.691s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Services_Make_Appointment_002_OR/Page_CURA Healthcare Service/textarea_Comment_comment""), ""FOR Medical Checkup"")",Chrome 122.0.0.0,,,04-03-2024 12:23:29,04-03-2024 12:23:30,1.026s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_Make_Appointment_002_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 122.0.0.0,,,04-03-2024 12:23:30,04-03-2024 12:23:32,2.091s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,04-03-2024 12:23:32,04-03-2024 12:23:32,0.001s,PASSED
